Date,Open,High,Low,Close,Volume,Name
2015-05-28,550.0,559.9,541.0,545.1,11498735,TECHM
2015-05-29,549.95,556.9,546.9,554.4,4961544,TECHM
2015-06-01,559.0,559.0,548.0,550.6,1842699,TECHM
2015-06-02,551.0,557.9,544.25,549.4,2276829,TECHM
2015-06-03,552.9,554.8,540.05,547.35,3675701,TECHM
2015-06-04,551.85,559.8,548.0,557.25,2352012,TECHM
2015-06-05,558.0,559.0,551.0,553.5,1385964,TECHM
2015-06-08,554.9,555.45,546.4,550.55,1412942,TECHM
2015-06-09,549.45,550.9,519.05,540.5,3680213,TECHM
2015-06-10,540.5,558.8,540.5,556.3,2135795,TECHM
2015-06-11,555.3,564.3,552.4,557.55,2140594,TECHM
2015-06-12,552.0,558.5,543.4,551.45,1974142,TECHM
2015-06-15,551.0,561.0,546.0,554.05,1749558,TECHM
2015-06-16,555.0,555.0,546.35,551.45,1591051,TECHM
2015-06-17,553.5,556.4,546.2,549.15,1913683,TECHM
2015-06-18,547.2,549.65,540.1,541.2,3012586,TECHM
2015-06-19,544.95,550.6,542.05,544.15,2307788,TECHM
2015-06-22,545.0,552.5,543.05,551.45,1939726,TECHM
2015-06-23,552.0,558.6,548.65,553.6,760738,TECHM
2015-06-24,553.0,553.0,541.15,545.3,3296386,TECHM
2015-06-25,544.0,545.45,528.0,529.8,5294305,TECHM
2015-06-26,528.85,535.8,520.05,521.8,3503690,TECHM
2015-06-29,515.0,517.6,467.1,483.35,11484481,TECHM
2015-06-30,475.0,491.7,472.0,477.8,12372399,TECHM
2015-07-01,476.65,488.35,475.8,486.15,4380793,TECHM
2015-07-02,489.0,489.9,477.35,479.3,2751848,TECHM
2015-07-03,480.0,482.0,469.0,471.6,2800735,TECHM
2015-07-06,465.0,469.65,458.5,464.55,2655385,TECHM
2015-07-07,465.0,476.7,464.55,471.4,2972045,TECHM
2015-07-08,469.8,472.75,460.3,470.3,3449261,TECHM
2015-07-09,474.0,478.9,471.1,474.3,2410385,TECHM
2015-07-10,478.0,478.0,469.0,474.0,1847909,TECHM
2015-07-13,474.05,477.0,469.6,475.8,2244361,TECHM
2015-07-14,478.95,481.0,475.0,476.9,2094711,TECHM
2015-07-15,478.0,485.0,477.55,479.95,1691337,TECHM
2015-07-16,483.4,495.75,480.2,491.8,2547683,TECHM
2015-07-17,493.95,505.8,493.0,502.15,5006283,TECHM
2015-07-20,502.5,504.2,491.35,500.8,3004605,TECHM
2015-07-21,502.9,520.5,499.75,509.4,3506058,TECHM
