Date,Open,High,Low,Close,Adj Close,Volume
2014-08-11,23795,23797.94922,23238,23360.19922,23129.04102,4763
2014-08-12,23336,23599,23336,23399.84961,23168.29883,3665
2014-08-13,23360,23567.80078,23275,23329.65039,23098.79883,3867
2014-08-14,23300,23470,23260,23364.94922,23133.74805,1704
2014-08-18,23300,24150,23275.05078,24097.94922,23859.49023,5525
2014-08-19,24050,24444,23815.15039,24315.55078,24074.93555,5648
2014-08-20,24299,24299,24020.05078,24163.80078,23924.69336,3215
2014-08-21,24165,24345,24025,24214.84961,23975.22656,3649
2014-08-22,24250,24400,24199.25,24325.15039,24084.44336,2579
2014-08-25,24325.15039,24379.94922,24065,24112.90039,23874.29297,2870
2014-08-26,24005.05078,24211.94922,23900,24047.30078,23809.3418,3073
2014-08-27,24112.90039,24320,24002.05078,24255.40039,24015.38281,2907
2014-08-28,24013,24270,23953.15039,24030.94922,23793.15234,2561
2014-09-01,24114.44922,25299,24080,25264.15039,25014.15625,14553
2014-09-02,25201,25850,25201,25607.15039,25353.75586,10606
2014-09-03,25600,25797.84961,25151.05078,25605.5,25352.12305,12641
2014-09-04,25578,27104.40039,25325.05078,26721.15039,26456.74023,21789
2014-09-05,26730,27561,26525,27159.69922,26890.94336,18623
2014-09-08,27170,31099,27159.69922,29580.69922,29287.99023,70854
2014-09-09,29735,30299.90039,29625,29907.59961,29611.65625,32100
2014-09-10,29897,31513.84961,29701,31058.80078,30751.45898,47833
2014-09-11,31200,31700,31010,31260.40039,30951.07031,33972
2014-09-12,31001,31774.90039,31001,31184.90039,30876.31641,20476
2014-09-15,31133,31849.84961,31010.05078,31426.75,31115.77148,18237
2014-09-16,31570,32098.69922,30150,30292,29992.25,32147
2014-09-17,30695,31440,30013,31307,30997.20703,31288
2014-09-18,31101,31739.75,31005,31523.69922,31211.76758,18562
2014-09-19,31570,32120.05078,31450,31748.5,31434.33398,16044
2014-09-22,31599,31950,31337,31601.25,31288.54102,11229
2014-09-23,31660,31850,30900,30977.15039,30670.625,14425
2014-09-24,31012,31470.05078,30701,31340.59961,31030.4707,11627
2014-09-25,31261,31608,30850,30963.30078,30656.9043,12503
2014-09-26,31050,31400,29848,30745.69922,30441.46094,18567
2014-09-29,30800,31190,30708.25,31036.05078,30728.9375,8361
2014-09-30,30950,32880,30868.55078,32681.94922,32358.54883,37941
2014-10-01,32650.25,32900.05078,31550,31674.25,31360.82227,18459
2014-10-07,31798,32285,31499.65039,31853.30078,31538.10156,15962
2014-10-08,31830,32282,31656,32090.34961,31772.80859,10932
2014-10-09,32220,32397.84961,31935.05078,31977.44922,31661.02344,6864
2014-10-10,31950,32348,31586,31675.84961,31362.40625,9986
2014-10-13,31540,31859.94922,31533.19922,31662.90039,31349.58594,6397
2014-10-14,31899,32000,31011.09961,31217.44922,30908.54102,9998
2014-10-15,31217.44922,31217.44922,31217.44922,31217.44922,30908.54102,0
2014-10-16,31209,31575,30132.75,30482.90039,30181.25586,12136
2014-10-17,30301,30900,30113,30323.19922,30023.14063,6907
2014-10-20,30933,30933,30135,30240.05078,29940.81445,5422
2014-10-21,30266.05078,30960,30222,30634.15039,30331.01367,12106
2014-10-22,30840,30900,30633.94922,30747.80078,30443.54297,4148
2014-10-27,30949,31000,30610,30742.5,30438.29297,5710
2014-10-28,30712,31239.90039,30674,31067.25,30759.83594,6874
2014-10-29,31151.09961,31258,30922.19922,31071.44922,30763.98633,5193
2014-10-30,31100,31298,30775,30897.19922,30591.46094,26326
2014-10-31,30999,31774,30952,31315.65039,31005.77148,8708
2014-11-03,31450,32029.94922,31320.05078,31828.25,31513.29688,9882
2014-11-05,31555,32720,31555,32428.80078,32107.90234,13324
2014-11-07,32590,32667,32101,32336.30078,32016.31836,5103
2014-11-10,32299,32741,32203.19922,32380.84961,32060.42773,6451
2014-11-11,32450,32700,32245,32634.55078,32311.61914,6156
2014-11-12,32675,33390,32145.34961,32286.09961,31966.61719,31378
2014-11-13,32499.90039,32500,32050.5,32244.75,31928.64258,5315
